Results of simulation:
t	Alpha	Beta	Min RMSE
397 	4.21 	4.21 	-0.01 	4.22 	0.01 	-0.01 	0.00 	0.91 	 0.71 	
398 	4.23 	4.23 	0.01 	4.20 	0.03 	0.03 	0.00 	0.02 	 0.67 	
399 	4.23 	4.23 	0.01 	4.23 	0.00 	0.00 	0.00 	0.65 	 0.64 	
400 	4.25 	4.25 	0.01 	4.24 	0.01 	0.01 	0.00 	0.93 	 0.58 	
401 	4.23 	4.23 	-0.00 	4.26 	0.03 	-0.03 	0.00 	0.06 	 0.91 	
402 	4.24 	4.23 	-0.00 	4.23 	0.01 	0.01 	0.00 	0.51 	 0.92 	
403 	4.23 	4.23 	-0.00 	4.23 	0.00 	-0.00 	0.00 	0.46 	 0.74 	
404 	4.23 	4.23 	0.00 	4.22 	0.01 	0.01 	0.00 	0.63 	 0.86 	
405 	4.25 	4.24 	0.01 	4.23 	0.02 	0.02 	0.00 	0.12 	 0.11 	
406 	4.25 	4.25 	0.01 	4.25 	0.00 	-0.00 	0.00 	0.12 	 0.40 	
407 	4.25 	4.26 	0.01 	4.26 	0.01 	-0.01 	0.00 	0.79 	 0.34 	
408 	4.24 	4.25 	0.00 	4.27 	0.03 	-0.03 	0.00 	0.53 	 0.20 	
409 	4.24 	4.25 	0.00 	4.25 	0.00 	-0.00 	0.00 	0.60 	 0.98 	
410 	4.23 	4.24 	-0.01 	4.25 	0.02 	-0.02 	0.00 	0.67 	 0.96 	
411 	4.26 	4.25 	0.01 	4.23 	0.03 	0.03 	0.00 	0.72 	 0.29 	
412 	4.27 	4.26 	0.01 	4.26 	0.01 	0.01 	0.00 	0.55 	 0.31 	
413 	4.27 	4.27 	0.01 	4.28 	0.01 	-0.01 	0.00 	0.73 	 0.91 	
414 	4.24 	4.25 	-0.01 	4.28 	0.04 	-0.04 	0.00 	0.50 	 0.73 	
415 	4.22 	4.23 	-0.02 	4.24 	0.02 	-0.02 	0.00 	0.20 	 0.83 	
416 	4.23 	4.21 	-0.02 	4.21 	0.02 	0.02 	0.00 	0.77 	 0.42 	
417 	4.22 	4.21 	-0.01 	4.19 	0.03 	0.03 	0.00 	0.18 	 0.99 	
418 	4.23 	4.21 	-0.01 	4.20 	0.02 	0.02 	0.00 	0.74 	 0.58 	
419 	4.20 	4.20 	-0.01 	4.20 	0.00 	0.00 	0.00 	0.93 	 0.12 	
420 	4.21 	4.21 	-0.00 	4.20 	0.01 	0.01 	0.00 	0.79 	 0.74 	
421 	4.23 	4.22 	0.01 	4.20 	0.03 	0.03 	0.00 	0.97 	 0.93 	
422 	4.21 	4.21 	-0.02 	4.24 	0.03 	-0.03 	0.00 	0.91 	 0.71 	
423 	4.23 	4.23 	0.01 	4.19 	0.04 	0.04 	0.00 	0.53 	 0.53 	
424 	4.23 	4.23 	0.01 	4.24 	0.01 	-0.01 	0.00 	0.98 	 0.87 	
425 	4.21 	4.21 	-0.02 	4.24 	0.03 	-0.03 	0.00 	0.95 	 0.48 	
426 	4.23 	4.22 	-0.00 	4.19 	0.03 	0.03 	0.00 	0.91 	 0.66 	
427 	4.22 	4.22 	-0.01 	4.22 	0.01 	-0.01 	0.00 	0.82 	 0.75 	
428 	4.20 	4.20 	-0.01 	4.21 	0.01 	-0.01 	0.00 	0.98 	 0.63 	
429 	4.17 	4.17 	-0.02 	4.19 	0.01 	-0.01 	0.00 	0.43 	 0.12 	
430 	4.19 	4.17 	-0.02 	4.15 	0.04 	0.04 	0.00 	0.92 	 0.81 	
431 	4.22 	4.21 	0.03 	4.14 	0.07 	0.07 	0.01 	0.89 	 0.72 	
432 	4.19 	4.20 	0.00 	4.25 	0.05 	-0.05 	0.00 	0.70 	 0.21 	
433 	4.20 	4.20 	0.00 	4.20 	0.00 	-0.00 	0.00 	0.90 	 0.08 	
434 	4.20 	4.20 	0.00 	4.20 	0.00 	0.00 	0.00 	0.89 	 0.97 	
435 	4.17 	4.18 	-0.02 	4.20 	0.03 	-0.03 	0.00 	0.75 	 0.04 	
436 	4.17 	4.17 	-0.02 	4.16 	0.02 	0.02 	0.00 	0.82 	 0.00 	
437 	4.18 	4.18 	-0.02 	4.15 	0.04 	0.04 	0.00 	0.99 	 0.12 	
438 	4.18 	4.18 	-0.02 	4.16 	0.02 	0.02 	0.00 	0.76 	 0.44 	
439 	4.17 	4.17 	-0.01 	4.16 	0.01 	0.01 	0.00 	0.59 	 0.16 	
440 	4.18 	4.17 	-0.01 	4.16 	0.02 	0.02 	0.00 	0.58 	 0.10 	
441 	4.19 	4.18 	-0.01 	4.16 	0.03 	0.03 	0.00 	0.72 	 0.58 	
442 	4.18 	4.18 	-0.00 	4.17 	0.01 	0.01 	0.00 	0.77 	 0.24 	
443 	4.19 	4.19 	-0.00 	4.18 	0.01 	0.01 	0.00 	0.61 	 0.52 	
444 	4.19 	4.19 	0.00 	4.18 	0.01 	0.01 	0.00 	0.22 	 0.06 	
445 	4.21 	4.19 	0.00 	4.19 	0.02 	0.02 	0.00 	0.85 	 0.54 	
446 	4.20 	4.20 	0.00 	4.20 	0.00 	0.00 	0.00 	0.56 	 0.67 	
447 	4.19 	4.19 	-0.00 	4.20 	0.01 	-0.01 	0.00 	0.67 	 0.22 	
448 	4.19 	4.19 	-0.00 	4.19 	0.00 	0.00 	0.00 	0.93 	 0.43 	
449 	4.19 	4.19 	-0.00 	4.19 	0.00 	0.00 	0.00 	0.83 	 0.47 	
450 	4.20 	4.20 	0.00 	4.19 	0.00 	0.00 	0.00 	0.96 	 0.93 	
451 	4.23 	4.23 	0.03 	4.20 	0.04 	0.04 	0.00 	1.00 	 0.65 	
452 	4.21 	4.21 	-0.00 	4.27 	0.06 	-0.06 	0.00 	0.68 	 0.04 	
453 	4.22 	4.21 	-0.00 	4.21 	0.01 	0.01 	0.00 	0.93 	 0.37 	
454 	4.25 	4.24 	0.01 	4.21 	0.04 	0.04 	0.00 	0.68 	 0.12 	
455 	4.25 	4.25 	0.01 	4.25 	0.00 	0.00 	0.00 	0.92 	 0.99 	
456 	4.22 	4.23 	-0.03 	4.26 	0.04 	-0.04 	0.00 	0.40 	 0.83 	
457 	4.22 	4.21 	-0.02 	4.20 	0.03 	0.03 	0.00 	0.88 	 0.48 	
458 	4.20 	4.20 	-0.01 	4.19 	0.01 	0.01 	0.00 	0.82 	 0.86 	
459 	4.24 	4.23 	0.02 	4.19 	0.05 	0.05 	0.00 	0.72 	 0.62 	
460 	4.23 	4.24 	0.01 	4.26 	0.03 	-0.03 	0.00 	0.49 	 0.90 	
461 	4.24 	4.25 	0.01 	4.25 	0.01 	-0.01 	0.00 	0.76 	 0.94 	
462 	4.23 	4.24 	-0.01 	4.26 	0.02 	-0.02 	0.00 	0.76 	 0.65 	
463 	4.25 	4.24 	0.00 	4.23 	0.02 	0.02 	0.00 	0.81 	 0.56 	
464 	4.23 	4.24 	-0.00 	4.24 	0.01 	-0.01 	0.00 	0.50 	 0.95 	
465 	4.23 	4.23 	-0.00 	4.23 	0.00 	-0.00 	0.00 	0.47 	 0.63 	
466 	4.24 	4.23 	-0.00 	4.23 	0.01 	0.01 	0.00 	0.47 	 0.93 	
467 	4.23 	4.23 	-0.00 	4.23 	0.00 	0.00 	0.00 	0.16 	 0.83 	
468 	4.24 	4.23 	0.00 	4.23 	0.00 	0.00 	0.00 	0.32 	 0.02 	
469 	4.24 	4.24 	0.00 	4.23 	0.01 	0.01 	0.00 	0.73 	 0.82 	
470 	4.23 	4.23 	-0.00 	4.24 	0.00 	-0.00 	0.00 	0.62 	 0.83 	
471 	4.22 	4.23 	-0.01 	4.23 	0.01 	-0.01 	0.00 	0.78 	 0.74 	
472 	4.20 	4.21 	-0.02 	4.22 	0.02 	-0.02 	0.00 	0.78 	 0.64 	
473 	4.20 	4.20 	-0.01 	4.19 	0.01 	0.01 	0.00 	0.65 	 0.60 	
474 	4.20 	4.20 	-0.01 	4.19 	0.01 	0.01 	0.00 	0.35 	 0.31 	
475 	4.21 	4.20 	-0.00 	4.19 	0.02 	0.02 	0.00 	0.60 	 0.20 	
476 	4.21 	4.21 	-0.00 	4.19 	0.02 	0.02 	0.00 	0.83 	 0.91 	
477 	4.27 	4.26 	0.05 	4.20 	0.06 	0.06 	0.00 	0.25 	 0.22 	
478 	4.26 	4.29 	0.04 	4.30 	0.04 	-0.04 	0.00 	0.22 	 0.44 	
479 	4.26 	4.32 	0.04 	4.34 	0.08 	-0.08 	0.01 	0.79 	 0.35 	
480 	4.25 	4.27 	0.01 	4.36 	0.11 	-0.11 	0.01 	0.13 	 0.88 	
481 	4.25 	4.28 	0.00 	4.28 	0.03 	-0.03 	0.00 	0.36 	 0.53 	
482 	4.25 	4.27 	-0.00 	4.28 	0.02 	-0.02 	0.00 	0.17 	 0.85 	
483 	4.25 	4.27 	-0.00 	4.27 	0.01 	-0.01 	0.00 	0.12 	 0.12 	
484 	4.25 	4.26 	-0.00 	4.26 	0.01 	-0.01 	0.00 	0.68 	 0.26 	
485 	4.26 	4.26 	-0.00 	4.26 	0.00 	0.00 	0.00 	0.55 	 0.96 	
486 	4.24 	4.25 	-0.01 	4.25 	0.01 	-0.01 	0.00 	0.20 	 0.23 	
487 	4.24 	4.24 	-0.01 	4.24 	0.01 	0.01 	0.00 	0.47 	 0.48 	
488 	4.25 	4.24 	-0.00 	4.23 	0.02 	0.02 	0.00 	0.57 	 0.91 	
489 	4.26 	4.25 	0.01 	4.24 	0.03 	0.03 	0.00 	0.30 	 0.30 	
490 	4.27 	4.26 	0.01 	4.26 	0.00 	0.00 	0.00 	0.53 	 0.53 	
491 	4.28 	4.28 	0.01 	4.27 	0.00 	0.00 	0.00 	0.85 	 0.27 	
492 	4.29 	4.29 	0.01 	4.29 	0.00 	-0.00 	0.00 	0.90 	 0.05 	
493 	4.29 	4.29 	0.01 	4.30 	0.01 	-0.01 	0.00 	0.62 	 0.38 	
494 	4.29 	4.29 	0.01 	4.30 	0.01 	-0.01 	0.00 	0.07 	 0.04 	
495 	4.27 	4.30 	0.01 	4.30 	0.03 	-0.03 	0.00 	0.67 	 0.06 	
496 	4.27 	4.28 	0.01 	4.31 	0.04 	-0.04 	0.00 	0.84 	 0.03 	
497 	4.27 	4.27 	0.01 	4.29 	0.02 	-0.02 	0.00 	0.79 	 0.13 	
498 	4.28 	4.28 	0.01 	4.28 	0.00 	-0.00 	0.00 	0.59 	 0.02 	
499 	4.27 	4.28 	0.01 	4.29 	0.01 	-0.01 	0.00 	0.66 	 0.39 	
500 	4.29 	4.29 	0.01 	4.28 	0.00 	0.00 	0.00 	0.97 	 0.34 	
501 	4.26 	4.26 	-0.00 	4.29 	0.03 	-0.03 	0.00 	0.57 	 0.09 	
502 	4.26 	4.26 	-0.00 	4.26 	0.00 	0.00 	0.00 	0.08 	 0.71 	
503 	4.25 	4.26 	-0.00 	4.26 	0.00 	-0.00 	0.00 	0.32 	 0.12 	
504 	4.25 	4.25 	-0.00 	4.25 	0.00 	0.00 	0.00 	0.37 	 0.25 	
505 	4.25 	4.25 	-0.00 	4.25 	0.01 	0.01 	0.00 	0.00 	 0.16 	
506 	4.25 	4.25 	-0.00 	4.25 	0.00 	-0.00 	0.00 	0.56 	 0.33 	
507 	4.25 	4.25 	-0.00 	4.25 	0.01 	0.01 	0.00 	0.64 	 0.92 	
508 	4.24 	4.24 	-0.01 	4.25 	0.01 	-0.01 	0.00 	0.67 	 0.63 	
509 	4.23 	4.23 	-0.01 	4.24 	0.00 	-0.00 	0.00 	0.53 	 0.94 	
510 	4.25 	4.24 	0.00 	4.23 	0.02 	0.02 	0.00 	0.47 	 0.32 	
511 	4.25 	4.24 	0.00 	4.24 	0.01 	0.01 	0.00 	0.05 	 0.08 	
512 	4.24 	4.25 	0.00 	4.25 	0.00 	-0.00 	0.00 	0.30 	 0.10 	
513 	4.25 	4.25 	0.00 	4.25 	0.01 	-0.01 	0.00 	0.53 	 0.75 	
514 	4.26 	4.25 	0.01 	4.25 	0.01 	0.01 	0.00 	0.89 	 0.49 	
515 	4.28 	4.28 	0.02 	4.26 	0.02 	0.02 	0.00 	0.54 	 0.02 	
516 	4.28 	4.29 	0.01 	4.30 	0.02 	-0.02 	0.00 	0.73 	 0.00 	
517 	4.28 	4.29 	0.01 	4.30 	0.02 	-0.02 	0.00 	0.85 	 0.17 	
518 	4.29 	4.29 	0.01 	4.30 	0.01 	-0.01 	0.00 	0.16 	 0.02 	
519 	4.28 	4.30 	0.01 	4.31 	0.03 	-0.03 	0.00 	0.68 	 0.02 	
520 	4.28 	4.29 	0.01 	4.32 	0.04 	-0.04 	0.00 	0.50 	 0.24 	
521 	4.27 	4.29 	0.01 	4.30 	0.03 	-0.03 	0.00 	0.46 	 0.12 	
522 	4.27 	4.28 	0.01 	4.30 	0.03 	-0.03 	0.00 	0.89 	 0.26 	
523 	4.28 	4.28 	0.00 	4.29 	0.02 	-0.02 	0.00 	0.76 	 0.27 	
524 	4.29 	4.29 	0.01 	4.28 	0.01 	0.01 	0.00 	0.70 	 0.52 	
525 	4.32 	4.32 	0.02 	4.29 	0.03 	0.03 	0.00 	0.34 	 0.00 	
526 	4.32 	4.33 	0.02 	4.33 	0.02 	-0.02 	0.00 	0.49 	 0.24 	
527 	4.31 	4.33 	0.01 	4.34 	0.03 	-0.03 	0.00 	0.80 	 0.04 	
528 	4.31 	4.32 	0.01 	4.34 	0.03 	-0.03 	0.00 	0.67 	 0.42 	
529 	4.32 	4.32 	0.01 	4.33 	0.01 	-0.01 	0.00 	0.16 	 0.17 	
530 	4.30 	4.32 	0.01 	4.33 	0.03 	-0.03 	0.00 	0.72 	 0.13 	
531 	4.30 	4.31 	0.01 	4.33 	0.03 	-0.03 	0.00 	0.38 	 0.49 	
532 	4.31 	4.31 	0.00 	4.32 	0.00 	-0.00 	0.00 	0.24 	 0.01 	
533 	4.30 	4.31 	0.00 	4.32 	0.02 	-0.02 	0.00 	0.59 	 0.12 	
534 	4.29 	4.30 	0.00 	4.32 	0.02 	-0.02 	0.00 	0.77 	 0.21 	
535 	4.27 	4.28 	-0.00 	4.31 	0.04 	-0.04 	0.00 	0.57 	 0.07 	
536 	4.27 	4.27 	-0.00 	4.27 	0.01 	-0.01 	0.00 	0.72 	 0.72 	
537 	4.25 	4.25 	-0.01 	4.27 	0.02 	-0.02 	0.00 	0.73 	 0.65 	
538 	4.23 	4.24 	-0.02 	4.24 	0.01 	-0.01 	0.00 	0.06 	 0.40 	
539 	4.24 	4.22 	-0.02 	4.22 	0.02 	0.02 	0.00 	0.48 	 0.93 	
540 	4.23 	4.22 	-0.00 	4.20 	0.03 	0.03 	0.00 	0.04 	 0.27 	
541 	4.24 	4.22 	-0.00 	4.22 	0.02 	0.02 	0.00 	0.02 	 0.21 	
542 	4.24 	4.22 	-0.00 	4.22 	0.02 	0.02 	0.00 	0.66 	 0.86 	
543 	4.23 	4.22 	0.01 	4.21 	0.02 	0.02 	0.00 	0.96 	 0.46 	
544 	4.25 	4.24 	0.01 	4.23 	0.01 	0.01 	0.00 	0.11 	 0.11 	
545 	4.24 	4.26 	0.01 	4.26 	0.02 	-0.02 	0.00 	0.54 	 0.90 	
546 	4.25 	4.26 	0.01 	4.27 	0.01 	-0.01 	0.00 	0.70 	 0.24 	
547 	4.25 	4.25 	0.00 	4.27 	0.02 	-0.02 	0.00 	0.27 	 0.67 	
548 	4.25 	4.25 	0.00 	4.26 	0.00 	-0.00 	0.00 	0.78 	 0.62 	
549 	4.24 	4.24 	-0.01 	4.26 	0.02 	-0.02 	0.00 	0.59 	 0.95 	
550 	4.23 	4.23 	-0.01 	4.24 	0.00 	-0.00 	0.00 	0.34 	 0.76 	
551 	4.23 	4.23 	-0.01 	4.23 	0.01 	0.01 	0.00 	0.48 	 0.60 	
552 	4.24 	4.23 	0.00 	4.22 	0.02 	0.02 	0.00 	0.51 	 0.93 	
553 	4.24 	4.24 	0.00 	4.23 	0.00 	0.00 	0.00 	0.30 	 0.69 	
554 	4.24 	4.24 	0.00 	4.24 	0.00 	0.00 	0.00 	0.63 	 0.39 	
555 	4.24 	4.24 	0.00 	4.24 	0.01 	-0.01 	0.00 	0.88 	 0.51 	
556 	4.23 	4.23 	-0.00 	4.24 	0.01 	-0.01 	0.00 	0.64 	 0.56 	
557 	4.23 	4.23 	-0.00 	4.23 	0.00 	-0.00 	0.00 	0.60 	 0.32 	
558 	4.24 	4.23 	-0.00 	4.22 	0.01 	0.01 	0.00 	0.60 	 0.69 	
559 	4.25 	4.24 	0.01 	4.23 	0.02 	0.02 	0.00 	0.40 	 0.02 	
560 	4.24 	4.25 	0.01 	4.25 	0.00 	-0.00 	0.00 	0.73 	 0.42 	
561 	 	  	  	 4.19 	 	  	  	 
---------------------------------------------------------------
ME Error: -0.01
MSE Error: 0.00
RMSE Error: 0.03
