Results of simulation:
t	Alpha	Beta	Min RMSE
479	0.79	0.35	0.02
480	0.13	0.88	0.01
481	0.36	0.53	0.01
482	0.17	0.85	0.01
483	0.12	0.12	0.01
484	0.68	0.26	0.02
485	0.55	0.96	0.02
486	0.20	0.23	0.01
487	0.47	0.48	0.01
488	0.57	0.91	0.02
489	0.30	0.30	0.02
490	0.53	0.53	0.03
491	0.85	0.27	0.03
492	0.90	0.05	0.03
493	0.62	0.38	0.03
494	0.07	0.04	0.03
495	0.67	0.06	0.02
496	0.84	0.03	0.02
497	0.79	0.13	0.03
498	0.59	0.02	0.02
499	0.66	0.39	0.03
500	0.97	0.34	0.03
501	0.57	0.09	0.02
502	0.08	0.71	0.02
503	0.32	0.12	0.01
504	0.37	0.25	0.01
505	0.00	0.16	0.01
506	0.56	0.33	0.01
507	0.64	0.92	0.02
508	0.67	0.63	0.01
509	0.53	0.94	0.01
510	0.47	0.32	0.01
511	0.05	0.08	0.01
512	0.30	0.10	0.01
513	0.53	0.75	0.02
514	0.89	0.49	0.03
515	0.54	0.02	0.03
516	0.73	0.00	0.03
517	0.85	0.17	0.03
518	0.16	0.02	0.03
519	0.68	0.02	0.03
520	0.50	0.24	0.03
521	0.46	0.12	0.02
522	0.89	0.26	0.03
523	0.76	0.27	0.03
524	0.70	0.52	0.05
525	0.34	0.00	0.05
526	0.49	0.24	0.05
527	0.80	0.04	0.04
528	0.67	0.42	0.05
529	0.16	0.17	0.04
530	0.72	0.13	0.04
531	0.38	0.49	0.05
532	0.24	0.01	0.04
533	0.59	0.12	0.03
534	0.77	0.21	0.04
535	0.57	0.07	0.02
536	0.72	0.72	0.02
537	0.73	0.65	0.02
538	0.06	0.40	0.01
539	0.48	0.93	0.01
540	0.04	0.27	0.01
541	0.02	0.21	0.01
542	0.66	0.86	0.01
543	0.96	0.46	0.01
544	0.11	0.11	0.01
545	0.54	0.90	0.01
546	0.70	0.24	0.02
547	0.27	0.67	0.01
548	0.78	0.62	0.02
549	0.59	0.95	0.01
550	0.34	0.76	0.01
551	0.48	0.60	0.01
552	0.51	0.93	0.01
553	0.30	0.69	0.01
554	0.63	0.39	0.01
555	0.88	0.51	0.01
556	0.64	0.56	0.01
557	0.60	0.32	0.01
558	0.60	0.69	0.01
559	0.40	0.02	0.01
560	0.73	0.42	0.01

Final Simulation:
Selected Data: Zamkniecie
t	Yt	Ft	St	Yt*	|Yt-Yt*|	Yt-Yt*	(Yt-Yt*)^2	Alpha	Beta
---------------------------------------------------------------
6 	4.22 	4.22 	0.01 	 	  	  	  	 
7 	4.23 	4.23 	0.01 	4.23 	0.00 	0.00 	0.00 	0.60 	 0.61 	
8 	4.24 	4.24 	0.01 	4.23 	0.01 	0.01 	0.00 	0.61 	 0.39 	
9 	4.24 	4.24 	0.01 	4.25 	0.01 	-0.01 	0.00 	0.46 	 0.95 	
10 	4.25 	4.25 	0.01 	4.25 	0.00 	-0.00 	0.00 	0.49 	 0.06 	
11 	4.25 	4.25 	0.01 	4.25 	0.00 	-0.00 	0.00 	0.19 	 0.18 	
12 	4.25 	4.25 	0.01 	4.26 	0.01 	-0.01 	0.00 	0.12 	 0.37 	
13 	4.24 	4.26 	0.00 	4.26 	0.02 	-0.02 	0.00 	0.50 	 0.89 	
14 	4.24 	4.25 	-0.01 	4.26 	0.02 	-0.02 	0.00 	0.60 	 0.75 	
15 	4.23 	4.24 	-0.01 	4.25 	0.01 	-0.01 	0.00 	0.75 	 0.69 	
16 	4.22 	4.22 	-0.01 	4.23 	0.00 	-0.00 	0.00 	0.50 	 0.96 	
17 	4.22 	4.21 	-0.01 	4.21 	0.01 	0.01 	0.00 	0.45 	 0.47 	
18 	4.22 	4.21 	-0.00 	4.21 	0.02 	0.02 	0.00 	0.56 	 0.91 	
19 	4.23 	4.22 	0.01 	4.21 	0.02 	0.02 	0.00 	0.64 	 0.82 	
20 	4.23 	4.23 	0.01 	4.23 	0.00 	-0.00 	0.00 	0.13 	 0.07 	
21 	4.23 	4.23 	0.01 	4.23 	0.00 	-0.00 	0.00 	0.07 	 0.88 	
22 	4.24 	4.24 	0.01 	4.24 	0.00 	-0.00 	0.00 	0.38 	 0.79 	
23 	4.25 	4.25 	0.01 	4.25 	0.00 	0.00 	0.00 	0.71 	 0.62 	
24 	4.26 	4.26 	0.01 	4.25 	0.01 	0.01 	0.00 	0.80 	 0.81 	
25 	4.29 	4.29 	0.02 	4.27 	0.02 	0.02 	0.00 	0.90 	 0.79 	
26 	4.25 	4.26 	-0.02 	4.31 	0.06 	-0.06 	0.00 	0.05 	 0.08 	
27 	4.25 	4.24 	-0.02 	4.24 	0.01 	0.01 	0.00 	0.68 	 0.95 	
28 	4.28 	4.26 	0.02 	4.22 	0.05 	0.05 	0.00 	0.86 	 0.06 	
29 	4.28 	4.28 	0.02 	4.28 	0.01 	0.01 	0.00 	0.95 	 0.06 	
30 	4.28 	4.29 	0.02 	4.30 	0.01 	-0.01 	0.00 	0.21 	 0.46 	
31 	4.28 	4.30 	0.01 	4.30 	0.02 	-0.02 	0.00 	0.92 	 0.66 	
32 	4.25 	4.25 	-0.02 	4.31 	0.06 	-0.06 	0.00 	0.59 	 0.07 	
33 	4.26 	4.25 	-0.02 	4.23 	0.02 	0.02 	0.00 	0.05 	 0.29 	
34 	4.25 	4.22 	-0.02 	4.22 	0.03 	0.03 	0.00 	0.74 	 0.14 	
35 	4.24 	4.23 	-0.02 	4.20 	0.04 	0.04 	0.00 	0.65 	 0.44 	
36 	4.25 	4.24 	-0.01 	4.22 	0.04 	0.04 	0.00 	0.73 	 0.53 	
37 	4.27 	4.26 	0.01 	4.23 	0.04 	0.04 	0.00 	0.48 	 0.01 	
38 	4.25 	4.26 	0.01 	4.27 	0.01 	-0.01 	0.00 	0.88 	 0.58 	
39 	4.24 	4.24 	-0.01 	4.27 	0.03 	-0.03 	0.00 	0.73 	 0.63 	
40 	4.22 	4.22 	-0.02 	4.23 	0.01 	-0.01 	0.00 	0.78 	 0.97 	
41 	4.23 	4.23 	0.01 	4.21 	0.03 	0.03 	0.00 	0.27 	 0.68 	
42 	4.24 	4.24 	0.01 	4.23 	0.01 	0.01 	0.00 	0.23 	 0.64 	
43 	4.25 	4.24 	0.01 	4.24 	0.00 	0.00 	0.00 	0.05 	 0.47 	
44 	4.25 	4.25 	0.01 	4.25 	0.01 	-0.01 	0.00 	0.43 	 0.17 	
45 	4.25 	4.25 	0.01 	4.26 	0.01 	-0.01 	0.00 	0.65 	 0.05 	
46 	4.25 	4.26 	0.01 	4.26 	0.01 	-0.01 	0.00 	0.55 	 0.98 	
47 	4.24 	4.25 	-0.01 	4.26 	0.02 	-0.02 	0.00 	0.55 	 0.71 	
48 	4.25 	4.25 	-0.00 	4.25 	0.01 	0.01 	0.00 	0.51 	 0.49 	
49 	4.26 	4.25 	0.00 	4.25 	0.01 	0.01 	0.00 	0.68 	 0.17 	
50 	4.27 	4.26 	0.00 	4.26 	0.01 	0.01 	0.00 	0.65 	 0.51 	
51 	4.27 	4.27 	0.01 	4.27 	0.01 	0.01 	0.00 	0.94 	 0.07 	
52 	4.27 	4.27 	0.00 	4.28 	0.01 	-0.01 	0.00 	0.39 	 0.18 	
53 	4.27 	4.27 	0.00 	4.28 	0.01 	-0.01 	0.00 	0.79 	 0.20 	
54 	4.28 	4.28 	0.00 	4.28 	0.00 	0.00 	0.00 	0.70 	 0.02 	
55 	4.28 	4.28 	0.00 	4.29 	0.01 	-0.01 	0.00 	0.98 	 0.64 	
56 	4.33 	4.33 	0.03 	4.29 	0.05 	0.05 	0.00 	0.81 	 0.05 	
57 	4.31 	4.32 	0.03 	4.37 	0.05 	-0.05 	0.00 	0.72 	 0.03 	
