Selected Data: Najwyzszy
t	Yt	Ft	St	Yt*	|Yt-Yt*|	Yt-Yt*	(Yt-Yt*)^2
---------------------------------------------------------------
110 	4.37 	4.37 	-0.00 	4.37 	0.00 	-0.00 	0.00 	
111 	4.38 	4.37 	-0.00 	4.37 	0.01 	0.01 	0.00 	
112 	4.35 	4.36 	-0.01 	4.37 	0.02 	-0.02 	0.00 	
113 	4.34 	4.35 	-0.01 	4.35 	0.02 	-0.02 	0.00 	
114 	4.35 	4.34 	-0.01 	4.34 	0.02 	0.02 	0.00 	
115 	4.35 	4.34 	-0.00 	4.34 	0.01 	0.01 	0.00 	
116 	4.34 	4.34 	-0.00 	4.34 	0.00 	-0.00 	0.00 	
117 	4.34 	4.34 	-0.00 	4.33 	0.01 	0.01 	0.00 	
118 	4.33 	4.33 	-0.00 	4.33 	0.01 	-0.01 	0.00 	
119 	4.35 	4.34 	-0.00 	4.33 	0.02 	0.02 	0.00 	
120 	4.34 	4.34 	0.00 	4.34 	0.00 	0.00 	0.00 	
121 	4.31 	4.32 	-0.01 	4.34 	0.03 	-0.03 	0.00 	
122 	4.30 	4.31 	-0.01 	4.32 	0.01 	-0.01 	0.00 	
123 	4.31 	4.31 	-0.01 	4.30 	0.01 	0.01 	0.00 	
124 	4.31 	4.30 	-0.01 	4.30 	0.01 	0.01 	0.00 	
125 	4.28 	4.29 	-0.01 	4.30 	0.02 	-0.02 	0.00 	
126 	4.27 	4.27 	-0.01 	4.28 	0.01 	-0.01 	0.00 	
127 	4.27 	4.27 	-0.01 	4.26 	0.01 	0.01 	0.00 	
128 	4.26 	4.26 	-0.01 	4.26 	0.01 	0.01 	0.00 	
129 	4.29 	4.27 	-0.00 	4.25 	0.03 	0.03 	0.00 	
130 	4.26 	4.27 	-0.00 	4.27 	0.00 	-0.00 	0.00 	
131 	4.26 	4.26 	-0.00 	4.26 	0.01 	-0.01 	0.00 	
132 	4.28 	4.27 	0.00 	4.26 	0.03 	0.03 	0.00 	
